lr,epochs,acc,precision,recall,f1score,val_acc,val_precision,val_recall,val_f1score
5e-05,1,0.6295613711758201,0.6575303927299508,0.6330207551887972,0.6158807307460668,0.6342182890855457,0.665297021818761,0.6354760392283126,0.6174372042227885
5e-05,2,0.63509030593439,0.6562016891056742,0.6380850647444469,0.6252787525280259,0.6386430678466076,0.6600917431192661,0.6397008275537996,0.6271572960318545
1e-05,1,0.6201621820862514,0.6599772252002634,0.6242926220685606,0.5994094622519335,0.6238938053097345,0.6617865168539325,0.6252991289365368,0.6020055110116642
1e-05,2,0.6218208625138223,0.6582118617528284,0.6257825325896692,0.6029805930263605,0.6253687315634219,0.6619162488744623,0.6267480007309623,0.6044268033848783
1e-05,3,0.624216734242536,0.6578444861224984,0.6280226306576644,0.60708510224898,0.6253687315634219,0.6607716509355854,0.6267305968655639,0.6049893570170288
1e-05,4,0.6273497972723922,0.6580085387687646,0.6309745914739555,0.6120955886252506,0.6312684365781711,0.6648488979777323,0.6325782956394616,0.6128192242678971
1e-05,5,0.6284555842241062,0.6575105583776104,0.6319848983985127,0.6141151768630306,0.6356932153392331,0.6676216239243418,0.6369597187535352,0.6187325691258666
1e-05,6,0.6295613711758201,0.6576467537654774,0.633027142655229,0.6158252550301527,0.6342182890855457,0.665297021818761,0.6354760392283126,0.6174372042227885
1e-05,7,0.6312200516033911,0.6573825270261872,0.6345617654413603,0.61860017176897,0.6327433628318584,0.6591586001489202,0.6339227442414961,0.6180454530028621
1e-05,8,0.632325838555105,0.6574674194808423,0.6355976222316448,0.6203165661361593,0.6356932153392331,0.6608531096563011,0.6368378916957457,0.6220096017768026
0.001,1,0.6461481754515297,0.6460788565301907,0.6457608967459256,0.6457496156193996,0.6519174041297935,0.6519174041297935,0.6519226920298998,0.6519143752175427
0.001,2,0.6535200884629562,0.6534000652812534,0.6532883220805201,0.6533086456005264,0.6637168141592921,0.6637744223488969,0.6637573205008832,0.6637138879220328
0.001,3,0.659049023221526,0.658931203463486,0.6588508540178523,0.658870866339746,0.6622418879056047,0.6622284878863827,0.6622214293794652,0.6622235178686808
0.001,4,0.6629192775525249,0.6628127675752067,0.6626743642432347,0.662697922704846,0.6637168141592921,0.6637158898028463,0.6636703011738907,0.663669988251164
0.001,5,0.6638407666789532,0.6637263704101687,0.6636695858747296,0.6636870574370957,0.668141592920354,0.6681818181818182,0.6680691281533628,0.6680542167232784
0.001,6,0.6629192775525249,0.6628041359677157,0.6627318514411211,0.6627515667247259,0.6740412979351033,0.6741843279419966,0.673934230792659,0.6738816738816739
0.001,7,0.6634721710283819,0.663357371271944,0.6632881046348544,0.6633074927322035,0.6769911504424779,0.6772075748064449,0.6768667821123071,0.6767879493681908
0.001,8,0.6647622558053815,0.6646493166908816,0.6645626080433151,0.6645842460087221,0.6710914454277286,0.6712301310652538,0.6709842756076125,0.6709303768127297
