max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_neuron,lr,dropout,optimizer,losses,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
8,onehot,0,9,64,16,0.0002,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6295803480205082,0.65401787,0.6544966,0.65383184,0.6540484,0.6370538473129272,0.632031261920929,0.6315186023712158,0.637499988079071,0.6343962550163269
8,onehot,0,10,64,16,0.0002,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6242185078916096,0.6579241,0.65866727,0.65550596,0.6569104,0.6303664445877075,0.640625,0.6395311951637268,0.6468750238418579,0.6431238651275635
8,onehot,0,11,64,16,0.0002,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.617688971615973,0.6651786,0.6660879,0.66331846,0.66453886,0.6241435408592224,0.655468761920929,0.6545893549919128,0.659375011920929,0.656915545463562
8,onehot,0,12,64,16,0.0002,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6114453240519478,0.67838544,0.67936516,0.6765253,0.6778112,0.6182963252067566,0.6578124761581421,0.660473644733429,0.6499999761581421,0.6551434397697449
8,onehot,0,13,64,16,0.0002,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6075580134278252,0.68210566,0.6832155,0.67931545,0.68116003,0.6121355295181274,0.6585937738418579,0.6607617139816284,0.653124988079071,0.6567689180374146
8,onehot,0,14,64,16,0.0002,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.6024629956200009,0.68526787,0.6863243,0.6826637,0.6843726,0.6055393815040588,0.6640625,0.665152907371521,0.660937488079071,0.6629791259765625
8,onehot,0,15,64,16,0.0002,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5954220145940781,0.69308037,0.6956341,0.687686,0.6914531,0.5990146398544312,0.6781250238418579,0.6809046864509583,0.671875,0.6763041615486145
8,onehot,0,16,64,16,0.0002,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5915818278278623,0.6979167,0.6988354,0.69568455,0.69709426,0.5918285846710205,0.69140625,0.6947309970855713,0.682812511920929,0.6886898279190063
8,onehot,0,17,64,16,0.0002,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5840211120389757,0.703125,0.7043103,0.7001488,0.7020082,0.5837526321411133,0.6968749761581421,0.6985589265823364,0.692187488079071,0.6953301429748535
8,onehot,0,18,64,16,0.0002,0.3,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7fa162292598>,sigmoid,0.5778305058677992,0.71223956,0.7127387,0.7118676,0.7121002,0.576147735118866,0.703125,0.704774022102356,0.699999988079071,0.7023342847824097
