max_len,epochs,batch_size,embedding_input,embedding_dim,hidden_layers,hidden_neuron,lr,dropout,optimizer,losses,activation,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
5,7,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.653347622943839,0.6146755,0.61490685,0.6143068,0.6135785,0.726137161254883,0.614583313465118,0.615477025508881,0.613095223903656,0.614173650741577
5,8,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.654979266863657,0.61338496,0.6143517,0.61080384,0.61120015,0.726773738861084,0.616815447807312,0.616451561450958,0.613095223903656,0.614605069160461
5,9,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.656970975937042,0.60545725,0.60631895,0.60471976,0.60440075,0.724645853042603,0.617559552192688,0.618948400020599,0.613095223903656,0.615927278995514
5,10,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.652321939535197,0.61661136,0.6178833,0.61449116,0.6151034,0.726760983467102,0.61904764175415,0.619205176830292,0.61904764175415,0.619017004966736
5,11,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.656056180552395,0.6092367,0.6116502,0.6034292,0.606498,0.720347404479981,0.616815447807312,0.61743700504303,0.613095223903656,0.615108370780945
5,12,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.652591074198748,0.6169801,0.6172414,0.61651915,0.6159834,0.725444078445435,0.617559552192688,0.618452370166779,0.611607134342194,0.614919245243073
5,13,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.651875109183753,0.6116335,0.61162215,0.6120944,0.6109205,0.725655317306519,0.620535731315613,0.620302319526672,0.620535731315613,0.620337784290314
5,14,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.650783500576441,0.6116335,0.61323917,0.60896015,0.61002016,0.726140916347504,0.619791686534882,0.620007157325745,0.61904764175415,0.619400441646576
5,15,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.648771082053846,0.61605823,0.6177785,0.61227876,0.6141628,0.726232409477234,0.617559552192688,0.617436945438385,0.617559552192688,0.617412567138672
5,16,16,onehot,0,2,128,0.0002,0.4,<class 'keras.optimizers.RMSprop'>,<function binary_crossentropy at 0x7f61b3023598>,<function elu at 0x7f61b2ff4b70>,sigmoid,0.649909753099655,0.61661136,0.61720973,0.61541295,0.6153695,0.722448348999023,0.623511910438538,0.623611152172089,0.623511910438538,0.623513340950012
