max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_neuron,lr,dropout,optimizer,losses,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
10,glove.6B.100d,100,9,128,32,0.01,0.4,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9675845299812562,0.51549965,0.64829654,0.26249164,0.3719793,1.0241047143936157,0.49354618787765503,0.5915142297744751,0.24116848409175873,0.34195783734321594
10,glove.6B.100d,100,10,128,32,0.01,0.4,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.958310220968277,0.52694684,0.6493769,0.2806651,0.39066434,1.01497220993042,0.4867527186870575,0.5897672772407532,0.23233695328235626,0.33242267370224
10,learn,50,1,16,32,0.005,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.005513564825058,0.48804167,0.60145205,0.21366666,0.30339926,0.9115765690803528,0.5257353186607361,0.6597062945365906,0.2449866384267807,0.34909453988075256
10,learn,50,2,16,32,0.005,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.931974895675977,0.55495834,0.64787436,0.3565,0.45286736,0.9324460029602051,0.528743326663971,0.6092714667320251,0.3278743326663971,0.4216073155403137
10,learn,50,3,16,32,0.005,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8804582161108653,0.5835,0.67128,0.42129168,0.5119438,1.014070749282837,0.519385039806366,0.5903646349906921,0.35594919323921204,0.4394029974937439
10,learn,50,4,16,32,0.005,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.8309629584749539,0.614875,0.69491726,0.46466666,0.55203164,1.1037886142730713,0.4989973306655884,0.5588511228561401,0.3756684362888336,0.44575002789497375
10,learn,50,5,16,32,0.005,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.7829900015791257,0.643,0.72054356,0.5104167,0.5932767,1.3050224781036377,0.5090240836143494,0.5498596429824829,0.4017379581928253,0.46183931827545166
10,learn,50,1,16,64,0.001,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9978488240242004,0.492375,0.5813861,0.21816666,0.3078897,0.9456950426101685,0.533756673336029,0.6792374849319458,0.22727273404598236,0.3330893814563751
20,learn,100,1,32,64,0.01,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,1.0602084542910257,0.42725,0.49164742,0.1215,0.18481207,1.0280203819274902,0.45228493213653564,0.6422204971313477,0.13810484111309052,0.22403129935264587
20,learn,100,2,32,64,0.01,0.2,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f2f48874510>,softmax,0.9858704330126444,0.50091666,0.65259975,0.23441666,0.3397073,1.008264183998108,0.4865591526031494,0.6077409982681274,0.2358870953321457,0.33720239996910095
