max_len,embedding_input,embedding_dim,epochs,batch_size,hidden_layers,hidden_neuron,lr,dropout,optimizer,losses,activation,last_activation,loss,acc,precision,recall,f1score,val_loss,val_acc,val_precision,val_recall,val_f1score
20,learn,100,17,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.40143420484662057,0.8308333,0.8814098,0.775125,0.8238472,4.0166015625,0.49361559748649597,0.5091520547866821,0.4166666567325592,0.4576416015625
20,learn,100,18,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.404519973586003,0.8300833,0.88860124,0.76783335,0.82263696,4.537112236022949,0.49193549156188965,0.5104780793190002,0.41901880502700806,0.45951035618782043
20,learn,100,19,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.40034209313988683,0.83341664,0.8871495,0.77283335,0.82488054,4.480237007141113,0.48521506786346436,0.5043346285820007,0.41263440251350403,0.4532890021800995
20,learn,100,20,32,2,32,0.001,0.3,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x7f7650cef488>,<function relu at 0x7f7650cbdd90>,softmax,0.4011461113890012,0.831125,0.88392293,0.77216667,0.82324374,3.962846517562866,0.47950267791748047,0.5034189224243164,0.4042338728904724,0.44762852787971497
20,learn,100,1,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,1.0191140392621358,0.47125,0.5438762,0.15925,0.23527572,0.9745163321495056,0.5336021780967712,0.6550182700157166,0.26075267791748047,0.36939024925231934
20,learn,100,2,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.8835767795244853,0.59054166,0.6746901,0.41729167,0.5120885,0.9687491655349731,0.5252016186714172,0.5815941095352173,0.37163978815078735,0.45180776715278625
20,learn,100,3,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.7294390967686971,0.67658335,0.73840135,0.58466667,0.651056,1.1871610879898071,0.5033602118492126,0.5465593338012695,0.42372313141822815,0.47620922327041626
20,learn,100,4,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.5860343183676402,0.749125,0.7974372,0.6897917,0.7388138,1.4781378507614136,0.49092742800712585,0.5114870071411133,0.43212366104125977,0.4676551818847656
20,learn,100,5,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.5013802954157194,0.7866667,0.8276341,0.74145836,0.78141934,1.6617846488952637,0.47211021184921265,0.49340951442718506,0.42641130089759827,0.45690178871154785
20,learn,100,6,32,2,64,0.0005,0.3,<class 'keras.optimizers.Adam'>,<function categorical_crossentropy at 0x7f7650cef488>,<function elu at 0x7f7650cbdb70>,softmax,0.45177943724393843,0.81,0.8472764,0.77229166,0.80742544,2.001140594482422,0.48151880502700806,0.48542520403862,0.426075279712677,0.4532923996448517
