lr,epochs,acc,precision,recall,f1score,val_acc,val_precision,val_recall,val_f1score
0.0001,1,0.44881889763779526,0.48850594585590135,0.44739986799092907,0.4038951381533889,0.4450770261219022,0.4790528116468868,0.4444665208731527,0.40050743250975934
0.0001,2,0.46821075557044733,0.490935414992043,0.4670801384930701,0.4351898114865651,0.46450100468854655,0.48226706277148185,0.46452568847090286,0.43136133579982655
0.0001,3,0.4787234042553192,0.49371921715141814,0.4777746194902887,0.45235972834623644,0.4708640321500335,0.48030385076708715,0.47130758590398175,0.4434439819121449
0.0001,4,0.4859691740660077,0.4969610430290146,0.48513074513272514,0.46346755870266515,0.4795713328868051,0.487555992836956,0.4800943776881708,0.4576975263542427
0.0001,5,0.4928379963142905,0.5011860332820847,0.4920836575603727,0.47312823045619923,0.48727394507702615,0.4920974997835539,0.4878315501264698,0.4686285927012703
0.0001,6,0.49861785893784555,0.5050434918912069,0.4979183553131628,0.48088301168238695,0.4916275954454119,0.4959622643580501,0.4922638093851724,0.4751971162951117
0.0001,7,0.5026386329368403,0.5076925867555101,0.5019873310470611,0.4866790986105469,0.49296718017414604,0.4960775689213272,0.49368232412652474,0.4781057393909324
0.0001,8,0.5069944714357514,0.511763989731129,0.50637938096799,0.49261466840574286,0.49665103817816475,0.5002050719000503,0.4973648223297083,0.48340637231807665
0.0001,9,0.5110990115597253,0.5145623961924332,0.510527400452169,0.4979796489725376,0.4973208305425318,0.49980516448357953,0.4981093343668759,0.4855322038811238
0.0001,10,0.5141564751214609,0.5172279848859104,0.5136076565510053,0.5019718963741625,0.5003348961821835,0.5026040418563783,0.5011237350115203,0.48881587968225043
0.05,1,0.5249204221812699,0.5344914791774437,0.5244928837901972,0.5235529608470363,0.471198928332217,0.48048979152423615,0.47042461139161507,0.4700790353227396
0.05,2,0.533003853241749,0.5430663347546331,0.5325710926232027,0.5316344597543877,0.46617548559946415,0.47486141074400856,0.4654746189957584,0.46536707548096573
0.05,3,0.5369827441782543,0.5472756252394319,0.5365430732286341,0.5355334385412176,0.4621567314132619,0.4716403096279163,0.4615050488673969,0.46173033401404967
0.05,4,0.5389931311777517,0.549389879570543,0.538556208137697,0.5376054157329112,0.46282652377762895,0.4727505037965,0.4621524865332156,0.46240589790865694
0.05,5,0.5393700787401575,0.5498026056130668,0.5389290205594892,0.5379247183102734,0.4608171466845278,0.4707958538538241,0.4601557312044397,0.46044494892282445
0.05,6,0.5394538448651366,0.5498215517821607,0.5390131267380406,0.538007679065834,0.4611520428667113,0.47124178711282605,0.46048609129694057,0.46080776255235617
0.05,7,0.539328195677668,0.549709659144523,0.5388859053273859,0.5378639952590899,0.46014735432016074,0.4702228691080513,0.45948041624566716,0.45982376898998006
0.05,8,0.5390350142402413,0.5494320891494758,0.5385946193287315,0.5375918340102964,0.46014735432016074,0.47024555344382374,0.4594936987648502,0.45986562297312433
0.005,1,0.5550343441112414,0.5539675013447437,0.5548277940894999,0.5529476896508713,0.5227729403884795,0.5205825194394401,0.5234377351246109,0.5208693454314139
0.005,2,0.5735466577316133,0.5721251744839623,0.5734282777268874,0.5723137738405968,0.5264567983924984,0.5246932708840503,0.5272558430021046,0.5255272624799784
0.005,3,0.5826771653543307,0.5814437125817774,0.5825872644031139,0.5817838979358254,0.5254521098459477,0.5234375368149898,0.5263039541548572,0.524408237900564
0.005,4,0.5880381973529905,0.5868282391855071,0.5879644933910961,0.5872082791542449,0.5261219022103149,0.5242986867990426,0.5270510907012006,0.5252323124089101
0.005,5,0.5919333221645167,0.5908049894951581,0.5918694629054251,0.591179129061839,0.5244474212993971,0.5228855916812132,0.5253435356527887,0.5237576416755481
