a,1
e,2
n,3
i,4
l,5
r,6
o,7
t,8
s,9
d,10
m,11
y,12
h,13
c,14
u,15
b,16
k,17
g,18
j,19
v,20
f,21
w,22
p,23
z,24
x,25
q,26
